"","school_ID","stud_ID","grade","gender","immig","video_games","internet_quality","internet_availability","SCHRISK","BULLIED","BELONG","COOPAGR","TEACHSUP","FAMSUP","PERSEVAGR","ASSERAGR","EMPATAGR","EMOCOAGR","STRESAGR","CURIOAGR","math_time","study_time","MISCED","FISCED","HISCED","ESCS","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","mate","mate9","mate3"
"39","38000236","38000056",9,0,2,1,-0.4533,5,1.4434,1.7705,0.7286,-0.7279,-0.1002,-0.8726,0.0029,-0.5635,-0.732,0.048,0.6284,-0.6197,3,3,9,10,10,-1.1864,405.145,327.152,324.835,375.818,384.2,320.339,379.319,330.318,379.194,362.417,358.8737,"1a","low"
"40","38000263","38000057",10,0,0,3,-0.2634,6,-0.4624,0.6616,-1.0919,-0.8715,-0.8059,-0.706,0.6227,-0.3666,-1.1873,-1.1869,-0.706,0.1853,3,3,5,3,5,-0.6606,508.12,503.814,468.186,464.9,495.923,520.263,489.16,458.4,530.68,489.219,492.8665,"3","medium"
"41","38000301","38000058",10,0,0,3,-1.0009,6,0.8125,-0.391,-0.595,-0.7467,-1.0693,-0.5182,-0.5048,-0.0951,-0.7054,-0.1855,-5e-04,-0.7382,2,3,3,4,4,-1.3713,419.193,399.623,392.882,451.138,387.743,402.155,393.315,398.588,434.685,419.785,409.9107,"1a","low"
"42","38000284","38000060",10,0,0,4,0.3623,6,-0.4624,-1.228,0.0342,-1.1249,-0.1002,1.883,0.0115,-0.4801,-0.4561,0.1718,0.2543,-0.2302,3,3,3,3,3,-1.1368,454.536,437.54,445.826,435.771,472.147,449.309,467.265,428.489,468.286,460.413,451.9582,"2","low"
"43","38000305","38000062",10,0,0,4,-0.5326,6,0.4017,-1.228,0.6622,-0.3065,-0.3322,-0.6937,-0.1656,-1.2787,0.5314,NA,-1.3495,-0.509,3,3,10,7,10,1.2916,430.808,469.481,455.542,453.915,444.576,396.833,408.766,454.746,456.847,453.781,442.5295,"2","low"
"44","38000325","38000070",10,1,0,3,0.3623,6,-0.4624,-1.228,0.3519,0.0015,-0.1002,0.3023,-0.3765,-0.6292,-0.0848,0.0719,-0.3363,0.0513,2,5,7,3,7,0.6849,563.746,584.871,549.57,551.448,567.958,571.143,580.875,579.671,560.443,545.826,565.5551,"4","medium"
"45","38000255","38000071",9,1,0,3,0.668,6,-0.4624,-1.228,1.1073,2.4281,-0.1002,NA,-0.5804,0.2525,0.8511,0.4666,-0.0443,0.5592,1,1,9,9,9,0.7449,463.126,458.08,498.838,489.001,515.192,486.72,501.177,484.56,466.654,467.469,483.0817,"3","medium"
"46","38000277","38000073",10,0,0,3,-0.2875,6,0.4017,-1.228,0.7289,-0.0053,-0.5635,0.2487,-0.1646,-0.5608,-0.2029,-0.2452,-0.3594,0.0318,3,4,10,7,10,1.076,671.735,610.446,671.707,670.632,660.76,630.487,619.785,615.11,643.563,659.784,645.4009,"5","high"
"47","38000227","38000074",10,0,0,4,0.0498,6,0.8125,0.7935,-0.338,-0.549,0.4357,1.6125,2.4307,0.4225,0.3452,0.4743,0.4053,0.409,2,3,9,9,9,0.8666,510.325,522.627,529.975,507.445,484.957,497.476,508.728,488.691,513.162,500.904,506.429,"3","medium"
"48","38000135","38000075",9,0,2,5,-1.239,6,3.0521,0.3631,0.2045,-0.8602,0.8211,1.7553,-0.2031,1.7179,0.0769,-0.3069,0.0211,0.5311,1,3,5,5,5,-0.7258,407.174,422.391,383.277,411.026,406.248,360.122,412.261,421.824,418.684,455.817,409.8824,"1a","low"
